Country,Population
Australia,24992747
Austria,8822267
Belgium,11398589
Canada,36963854
Czech Republic,10610055
Denmark,5781190
Finland,5513130
France,66918941
Germany,82792351
Greece,10741165
Hungary,9778371
Iceland,348450
Ireland,4830392
Italy,60483973
Japan,126706210
Korea,51606633
Luxembourg,602005
Mexico,123364284
Netherlands,17181084
New Zealand,4885500
Norway,5295619
Poland,37976687
Portugal,10291027
Slovak Republic,5443120
Spain,46658447
Sweden,10120242
Switzerland,8484130
Turkey,80810525
United Kingdom,66273576
United States,325732103
Brazil,207651621
Chile,18751405
Colombia,49834240
Costa Rica,5003403
Estonia,1319133
Israel,8797940
Latvia,1934379
Lithuania,2808901
Russia,146880432
Slovenia,2066880