"country","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
"Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-04,6e-04
"Algeria",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,NA,NA
"Angola",0.016,0.017,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.021,0.021
"Argentina",0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004
"Armenia",6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002
"Australia",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002
"Austria",6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004
"Azerbaijan",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001
"Bahamas",0.037,0.036,0.035,0.033,0.032,0.032,0.031,0.03,0.03,0.03,0.03,0.03,0.031,0.031,0.029,0.028
"Bangladesh",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Barbados",0.001,0.002,0.002,0.003,0.004,0.004,0.005,0.006,0.007,0.008,0.009,0.011,0.012,0.013,0.009,0.009
"Belarus",6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.004
"Belgium",0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003
"Belize",0.015,0.016,0.018,0.019,0.02,0.022,0.022,0.023,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
"Benin",0.011,0.013,0.014,0.014,0.014,0.014,0.014,0.014,0.013,0.013,0.013,0.012,0.012,0.012,0.012,0.012
"Bhutan",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.003
"Bolivia",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003
"Botswana",0.166,0.197,0.222,0.241,0.253,0.26,0.263,0.263,0.261,0.258,0.255,0.253,0.251,0.249,0.241,0.237
"Brazil",0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.0045,0.003,0.003
"Bulgaria",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Burkina Faso",0.034,0.032,0.029,0.027,0.025,0.023,0.021,0.019,0.017,0.016,0.015,0.014,0.013,0.012,0.012,0.012
"Burundi",0.059,0.059,0.058,0.057,0.054,0.052,0.05,0.047,0.045,0.042,0.04,0.038,0.036,0.035,0.016,0.014
"Cambodia",0.014,0.014,0.014,0.014,0.014,0.013,0.012,0.011,0.009,0.008,0.008,0.007,0.006,0.006,0.006,0.006
"Cameroon",0.042,0.048,0.051,0.053,0.054,0.055,0.055,0.055,0.055,0.054,0.054,0.054,0.054,0.053,0.048,0.047
"Canada",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003
"Cape Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01
"Central African Republic",0.097,0.101,0.101,0.1,0.098,0.094,0.089,0.084,0.078,0.072,0.066,0.061,0.055,0.051,0.051,0.049
"Chad",0.021,0.023,0.025,0.027,0.029,0.03,0.032,0.033,0.034,0.034,0.035,0.035,0.035,0.034,0.032,0.032
"Chile",0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.005
"China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",0.006,0.007,0.008,0.008,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005
"Comoros",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001
"Congo, Rep.",0.044,0.043,0.041,0.04,0.039,0.039,0.038,0.038,0.037,0.037,0.036,0.036,0.035,0.035,0.033,0.033
"Costa Rica",6e-04,6e-04,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003
"Cote d'Ivoire",0.071,0.074,0.075,0.074,0.072,0.069,0.065,0.061,0.057,0.053,0.048,0.044,0.041,0.037,0.034,0.032
"Croatia",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Cuba",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.002
"Czech Republic",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Denmark",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002
"Djibouti",0.023,0.025,0.027,0.028,0.029,0.029,0.029,0.029,0.028,0.027,0.027,0.026,0.026,0.026,0.016,0.015
"Dominican Republic",0.009,0.009,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.009,0.008,0.007
"Ecuador",0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004
"Egypt",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"El Salvador",0.004,0.004,0.005,0.006,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.006,0.006
"Equatorial Guinea",0.004,0.006,0.007,0.009,0.012,0.015,0.019,0.023,0.027,0.032,0.036,0.04,0.044,0.047,0.042,0.044
"Eritrea",0.011,0.011,0.012,0.012,0.012,0.012,0.012,0.011,0.011,0.01,0.01,0.009,0.009,0.008,0.007,0.007
"Estonia",0.001,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.009,0.01,0.011,0.011,0.012,0.012,0.012,0.013
"Eswatini",0.106,0.133,0.16,0.185,0.206,0.223,0.236,0.245,0.251,0.255,0.256,0.257,0.258,0.259,0.258,0.259
"Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,0.016
"Fiji",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,6e-04,6e-04
"Finland",6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"France",0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
"Gabon",0.031,0.037,0.042,0.046,0.049,0.052,0.053,0.054,0.054,0.054,0.054,0.054,0.053,0.053,0.052,0.051
"Gambia",0.002,0.003,0.003,0.004,0.004,0.005,0.006,0.007,0.008,0.01,0.011,0.013,0.015,0.017,0.014,0.014
"Georgia",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002
"Germany",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Ghana",0.017,0.02,0.022,0.023,0.023,0.023,0.023,0.022,0.021,0.021,0.02,0.019,0.019,0.018,0.016,0.015
"Greece",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002
"Guatemala",0.002,0.003,0.003,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.007,0.007,0.007,0.008,0.007,0.007
"Guinea",0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.016,0.016,0.015,0.015,0.014,0.014,0.014,0.014,0.014
"Guinea-Bissau",0.009,0.01,0.012,0.014,0.016,0.018,0.02,0.021,0.023,0.023,0.024,0.024,0.025,0.025,0.023,0.024
"Guyana",0.022,0.021,0.019,0.018,0.016,0.015,0.014,0.013,0.013,0.012,0.011,0.011,0.01,0.012,0.012,0.011
"Haiti",0.036,0.034,0.033,0.031,0.029,0.028,0.026,0.025,0.023,0.022,0.021,0.021,0.02,0.02,0.019,0.019
"Honduras",0.015,0.015,0.014,0.014,0.013,0.013,0.012,0.011,0.011,0.01,0.009,0.009,0.008,0.008,NA,NA
"Hungary",0.001,0.001,0.001,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001
"Iceland",0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003
"India",0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.0039,0.0037,0.0037,0.0034,0.0032,0.0031,NA
"Indonesia",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.002,0.002,0.002
"Iran",6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"Ireland",0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003
"Israel",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"Italy",0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004
"Jamaica",0.022,0.021,0.021,0.02,0.02,0.019,0.019,0.019,0.018,0.018,0.018,0.017,0.017,0.017,0.018,0.018
"Japan",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Kazakhstan",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002
"Kenya",0.103,0.105,0.105,0.101,0.096,0.09,0.084,0.079,0.075,0.071,0.068,0.066,0.064,0.063,0.062,0.062
"Kyrgyz Republic",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.002,0.002,0.002,0.003
"Lao",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003
"Latvia",0.001,0.001,0.002,0.002,0.002,0.003,0.004,0.004,0.005,0.005,0.006,0.006,0.006,0.006,0.007,0.007
"Lebanon",0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
"Lesotho",0.143,0.185,0.216,0.234,0.242,0.245,0.245,0.243,0.241,0.238,0.236,0.235,0.235,0.236,0.23,0.232
"Liberia",0.031,0.034,0.036,0.035,0.034,0.033,0.031,0.028,0.026,0.024,0.022,0.02,0.018,0.016,0.013,0.011
"Lithuania",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001
"Luxembourg",0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
"Madagascar",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003
"Malawi",0.139,0.145,0.147,0.147,0.145,0.142,0.138,0.134,0.13,0.125,0.121,0.118,0.114,0.112,0.109,0.104
"Malaysia",0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.004,0.004
"Maldives",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Mali",0.018,0.019,0.019,0.018,0.018,0.017,0.016,0.015,0.014,0.013,0.012,0.011,0.011,0.01,0.012,0.011
"Malta",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Mauritania",0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.01,0.011
"Mauritius",0.001,0.001,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.006,0.007,0.007,0.008,0.009,0.01,0.01
"Mexico",0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002
"Moldova",0.001,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005
"Mongolia",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Morocco",6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Mozambique",0.041,0.049,0.058,0.067,0.077,0.086,0.094,0.101,0.106,0.11,0.112,0.113,0.114,0.114,0.113,0.113
"Myanmar",0.006,0.006,0.007,0.007,0.007,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.007,0.007
"Namibia",0.071,0.089,0.107,0.125,0.141,0.153,0.161,0.165,0.165,0.162,0.157,0.15,0.143,0.137,0.137,0.136
"Nepal",0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003
"Netherlands",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"New Zealand",6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Nicaragua",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"Niger",0.006,0.007,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008
"Nigeria",0.04,0.04,0.04,0.04,0.04,0.039,0.038,0.038,0.037,0.037,0.037,0.036,0.036,0.036,0.036,0.037
"Norway",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Oman",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,NA,NA
"Pakistan",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Panama",0.016,0.016,0.016,0.016,0.015,0.014,0.014,0.013,0.012,0.011,0.011,0.01,0.009,0.009,0.008,0.008
"Papua New Guinea",0.001,0.001,0.002,0.002,0.003,0.004,0.005,0.006,0.007,0.007,0.008,0.008,0.009,0.009,0.007,0.007
"Paraguay",0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
"Peru",0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004
"Philippines",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Poland",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Portugal",0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.007,0.007
"Qatar",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,NA,NA
"Romania",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Russia",6e-04,6e-04,6e-04,0.001,0.001,0.003,0.005,0.006,0.008,0.008,0.009,0.009,0.009,0.01,NA,NA
"Rwanda",0.047,0.045,0.043,0.042,0.04,0.038,0.037,0.036,0.034,0.032,0.031,0.03,0.029,0.029,0.03,0.03
"Sao Tome and Principe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01
"Senegal",0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.007,0.007
"Serbia",0.001,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Sierra Leone",0.002,0.003,0.004,0.006,0.008,0.009,0.011,0.012,0.013,0.014,0.015,0.016,0.016,0.016,0.016,0.016
"Singapore",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Slovak Republic",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Slovenia",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001
"Somalia",0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.005,0.006,0.006,0.007,0.007
"South Africa",0.061,0.084,0.107,0.129,0.148,0.161,0.171,0.177,0.18,0.181,0.181,0.181,0.18,0.179,0.172,0.173
"South Korea",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain",0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
"Sri Lanka",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Sudan",0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.005,0.006,0.006,0.007,0.008,0.01,0.004,0.004
"Suriname",0.007,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.01,0.01,0.01,0.012,0.011
"Sweden",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002
"Switzerland",0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004
"Tajikistan",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002
"Tanzania",0.078,0.079,0.079,0.077,0.075,0.073,0.071,0.068,0.066,0.064,0.062,0.06,0.059,0.058,0.058,0.058
"Thailand",0.021,0.021,0.02,0.02,0.019,0.018,0.017,0.016,0.015,0.015,0.015,0.014,0.014,0.013,0.013,0.012
"Togo",0.025,0.029,0.031,0.034,0.035,0.036,0.036,0.036,0.035,0.035,0.034,0.033,0.033,0.032,0.036,0.035
"Trinidad and Tobago",0.008,0.009,0.01,0.011,0.011,0.012,0.012,0.012,0.013,0.013,0.013,0.014,0.014,0.015,0.015,0.015
"Tunisia",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Turkey",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Uganda",0.093,0.088,0.084,0.08,0.076,0.073,0.07,0.068,0.066,0.064,0.064,0.063,0.063,0.064,0.069,0.07
"Ukraine",0.003,0.004,0.005,0.007,0.008,0.009,0.009,0.01,0.011,0.011,0.011,0.011,0.011,0.011,0.009,0.008
"United Kingdom",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003
"United States",0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006
"Uruguay",0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006
"Uzbekistan",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,NA,NA
"Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.005
"Vietnam",0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.005
"Yemen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.002
"Zambia",0.15,0.149,0.148,0.147,0.146,0.144,0.143,0.142,0.141,0.14,0.139,0.138,0.137,0.136,0.129,0.127
"Zimbabwe",0.251,0.262,0.265,0.263,0.257,0.248,0.237,0.225,0.211,0.198,0.184,0.172,0.161,0.151,0.157,0.152
